un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
426,story,measles,197.871,52.48,0,0,0
409,all,measles,189.852,92.383,0,0,0
422,story,us-healthcare,402.793,0.531,8,0,0
432,none,measles,168.49,106.734,0,0,0
412,none,measles,113.984,90.526,0,0,0
441,all,us-healthcare,86.814,0,0,-1,0
438,story,gun-deaths,145.29,2.556,0,0,0
440,none,gun-deaths,77.813,59.061,0,0,0
445,all,measles,184.502,102.582,0,2,0
445,all,measles,190.166,102.582,0,2,0
444,none,us-healthcare,257.056,3.785,0,0,0
451,int,carbon-clock,29.052,8.503,71,5,10
448,none,measles,341.474,200.542,0,0,0
446,story,measles,391.102,214.876,0,0,0
452,none,carbon-clock,65.201,0,0,0,0
418,story,gun-deaths,321.262,0.345,0,0,0
453,all,gun-deaths,108.46,74.304,0,9,0
455,int,gun-deaths,74.492,1.225,0,5,0
432,none,measles,7.193,2.847,0,0,0
454,story,gun-deaths,160.016,0,0,0,0
456,none,gun-deaths,73.671,0,0,0,0
458,story,us-healthcare,152.718,0,0,0,0
463,int,measles,156.674,40.031,70,5,0
459,int,us-healthcare,189.036,21.123,29,14,0
460,none,us-healthcare,355.587,1.504,0,0,0
472,none,gun-deaths,46.066,44.363,0,0,0
470,story,gun-deaths,163.457,96.596,0,0,0
475,int,us-healthcare,1.668,1.634,1,0,0
471,int,gun-deaths,27.733,10.091,0,0,0
472,none,gun-deaths,8.562,6.427,0,0,0
477,all,measles,26.552,6.21,0,0,0
476,none,us-healthcare,61.367,57.82,0,0,0
473,all,us-healthcare,180.969,61.45,47,2,0
478,story,measles,176.624,115.268,0,0,0
484,none,carbon-clock,100.106,77.592,0,0,0
480,none,measles,186.27,50.292,0,0,0
485,all,gun-deaths,195.708,84.408,0,27,0
483,int,carbon-clock,142.307,22.748,3,7,221
487,int,gun-deaths,145.422,12.821,0,34,0
478,story,measles,91.918,81.807,0,0,0
437,all,gun-deaths,800.186,14.314,0,70,0
